Game,MessageId,Submitter,Url 1,Url 2,Url 3,Url 4
The Unfinished Swan,796701553888198666,Harry Damm,https://store.steampowered.com/app/1206430/The_Unfinished_Swan/,,,
Oh Jeez, Oh No, My Rabbits Are Gone!,796452743182680104,chaotic_iak,https://store.steampowered.com/app/1199140/Oh_Jeez_Oh_No_My_Rabbits_Are_Gone/,,,
Puzlogic,796417297652776980,Gyt,https://store.steampowered.com/app/865220/Puzlogic/,,,
B.i.t.Lock,796000715221762109,KirraLuan,https://store.steampowered.com/app/1138990/BitLock/,,,
The Sojourn,795968403114033192,Corey Martin,https://store.steampowered.com/app/794960/The_Sojourn/,,,
null,791781072911335475,Norgg,https://www.curseforge.com/minecraft/worlds/tranquil-gardens,,,
Inside,791780544320241724,skymoo,https://www.epicgames.com/store/en-US/product/inside/,,,
N Step Steve: part 1,791060240220028929,Corey Martin,https://epicpikaguy.itch.io/n-step-steve-part-1,,,
null,790320110467678259,quasiotter,https://twitter.com/galactical1100/status/1340727332911390720?s=20,,,
Happy Game,788559743731761182,KirraLuan,https://store.steampowered.com/app/1206060/Happy_Game/,,,
Auro: A Monster-Bumping Adventure,788340474397327360,Patashu,https://store.steampowered.com/app/459680/Auro_A_MonsterBumping_Adventure/,,,
Save 81% on Unravel Yarny Bundle on Steam,788319319737892962,KirraLuan,https://store.steampowered.com/bundle/15296/Unravel_Yarny_Bundle/,,,
Alba: A Wildlife Adventure,787328004526178304,KirraLuan,https://store.steampowered.com/app/1337010/Alba_A_Wildlife_Adventure/,,,
ANTE,786812918372368394,KirraLuan,https://store.steampowered.com/app/1434270/ANTE/,,,
chickenswamp (5/10),786332629972418600,knexator,https://pancelor.itch.io/chickenswamp,,,
The Witness,786101599134547968,unsuspiciousperson,https://store.steampowered.com/app/210970/The_Witness/,,,
Mitoosis,785982889740206091,Zera,https://le-slo.itch.io/mitoosis,,,
Bicycle Arranger,785899276614107167,Leaving Leaves,https://leaving-leaves.itch.io/bicycle-arranger,,,
null,785877391956246538,qwaffles,https://knexator.github.io/gear_game.html,,,
Loop Deleter,785611479919362096,qwaffles,https://zacharybarbanell.itch.io/loop-deleter,,,
pancelor - itch.io,785611381373272075,qwaffles,https://pancelor.itch.io/,,,
Uschronosyn,785599317569830922,qwaffles,https://artificemachine.itch.io/uschronosyn,,,
Bunny's Flowers,785494322317492224,qwaffles,https://store.steampowered.com/app/1375480/Bunnys_Flowers/,,,
Hebi Hebi,785161007147515916,KirraLuan,https://taylorritenour.itch.io/hebi-hebi,,,
Puzzle Retreat - Apps on Google Play,784956065036894228,DaGreenMachine,https://play.google.com/store/apps/details?id=thevoxelagents.puzzleretreat&hl=en_US&gl=US,,,
Nymble,784824820130906122,Elyot,https://xalezar.itch.io/nymble,,,
Subatomic Wire - Play on Armor Games,784596254876499990,EPGAstudios,https://armorgames.com/subatomic-wire-game/19068?t=1607130213,,,
Home - #AkiRobots,784485374477991976,Draknek,https://www.akirobots.com/,,,
tengam,784232557990248479,dkilmer,https://dkilmer.itch.io/tengam,,,
Mighty Vision: Corrypt,783737658140524614,~kjeann,http://mightyvision.blogspot.com/2012/12/corrypt.html?m=1,,,
‎Imbroglio on the App Store,783709744049291264,knexator,https://apps.apple.com/us/app/imbroglio/id969264934,,,
Imbroglio,783709647566929931,KirraLuan,https://store.steampowered.com/app/1175420/Imbroglio/,,,
Mixolumia,782942957501677579,KirraLuan,https://store.steampowered.com/app/1414020,,,
The Court Of Wanderers,782902507134386197,knexator,https://lennart-bours.itch.io/the-court-of-wanderers,,,
Move 'n' Bloom,782840170806116382,krackocloud,https://store.steampowered.com/app/1315710/Move_n_Bloom/,,,
Crew 167: The Grand Block Odyssey,782363527171801088,megamanlego,https://store.steampowered.com/app/772570/Crew_167_The_Grand_Block_Odyssey/,,,
reky,782239245574209548,skymoo,https://beyondthosehills.itch.io/reky,,,
Volcano Snek,781863844309368842,Draknek,https://justcamh.itch.io/volcano-snek,,,
SNAPto,781863787099193386,Draknek,https://bonpsi.itch.io/snapto,,,
CHUCHEL,781540740325048331,KirraLuan,https://store.steampowered.com/app/711660/CHUCHEL/,,,
YANKAI'S PEAK.,781451250515705867,KirraLuan,https://store.steampowered.com/app/654910/YANKAIS_PEAK/,,,
Mixolumia,779561628487385098,KirraLuan,https://store.steampowered.com/app/1414020/Mixolumia/,,,
Mixolumia,779560963821142057,KirraLuan,https://davemakes.itch.io/mixolumia,,,
Campfire Cooking,779524286678958151,KirraLuan,https://store.steampowered.com/app/679500/Campfire_Cooking/,,,
Tengam for Nintendo Switch - Nintendo Game Details,779358134292447283,dkilmer,https://www.nintendo.com/games/detail/tengam-switch/,,,
Olimdal,778812630529867788,KirraLuan,https://store.steampowered.com/app/990280/Olimdal/,,,
Takoway - 唯美的视觉解谜游戏 - Google Play 上的应用,778792399778349066,KirraLuan,https://play.google.com/store/apps/details?id=com.daylightstudios.takoway&hl=zh,,,
Pick and place - Apps on Google Play,778787138732294144,KirraLuan,https://play.google.com/store/apps/details?id=com.mentallab.picknplace,,,
PuzzleBeast - Kung Fu Packing Crate Puzzles,778598083574497341,clickmazes,http://www.puzzlebeast.com/crate,,,
Chinatris,778056851891421225,KirraLuan,https://store.steampowered.com/app/1139800/Chinatris/,,,
Manifold Garden,778003497546940456,DaGreenMachine,https://store.steampowered.com/app/473950/Manifold_Garden/,,,
Clickmazes - planks,777951569781981194,domcamus,http://www.clickmazes.com/planks/new-planks66.htm,,,
NUVAVULT,777688341143486464,megamanlego,https://store.steampowered.com/app/1171160/NUVAVULT/,,,
Tiny Heist,777202027188191312,knexator,https://terrycavanaghgames.com/tinyheist/,,,
Mortar,776934141345267722,Toombler,https://toombler.itch.io/mortar,,,
Dungeon and Puzzles,776795298273820702,Sky Chan,https://store.steampowered.com/app/1229060/Dungeon_and_Puzzles/,,,
Road Not Taken,776720201798123520,tjm,https://store.steampowered.com/app/293740/Road_Not_Taken/,,,
NAVIA,776454258203557899,Jess must digress,https://nebu-soku.itch.io/navia,,,
Epitasis,776188394073489408,tjm,https://store.steampowered.com/app/662240/Epitasis/,,,
Shackle,775776103683457045,DaGreenMachine,https://steven-miller.itch.io/shackle,,,
Cardinal Chains,775187270361677826,Jess must digress,https://danijmn.itch.io/cardinalchains,,,
Creaks – Amanita Design,775129276709732373,That Scar,https://amanita-design.net/games/creaks.html,https://store.steampowered.com/app/956030/Creaks/,,
Carto,774913036619874326,fizzd,https://store.steampowered.com/app/1172450/Carto/,,,
Sokoban: Bunny Tales,774789599208931328,ThemsAllTook,https://store.steampowered.com/app/1414070/Sokoban_Bunny_Tales/,,,
Dissembler,772187250347212840,skymoo,http://dissembler-game.com/,,,
Outer Wilds - Mobius Digital,772170470372016141,jackk,https://www.mobiusdigitalgames.com/outer-wilds.html,,,
Understand,772161268160266291,jackk,https://store.steampowered.com/app/1299400/Understand/,,,
Sausage Dog Tends To Infinity,772160306452496385,jackk,https://store.steampowered.com/app/1299340/Sausage_Dog_Tends_To_Infinity/,,,
Full Bore,770679867951677480,tjm,https://store.steampowered.com/app/264060/Full_Bore/,,,
Lab Rat,770436567000809492,Portponky,https://store.steampowered.com/app/1304610/Lab_Rat/,,,
Toki Tori 2+,769605501087907851,tjm,https://store.steampowered.com/app/201420/Toki_Tori_2/,,,
Toki Tori,769605487683305513,tjm,https://store.steampowered.com/app/38700/Toki_Tori/,,,
WitchWay,769410557806903306,tjm,https://gleeson.itch.io/witchway,,,
FRACTER,769131278690811914,Harry Damm,https://store.steampowered.com/app/783340/FRACTER/,,,
PuzzleScript Game,768560872875360350,JumbleTheCircle,https://www.puzzlescript.net/play.html?p=1e4df9559568da05896e8e7486fc2c4c,https://www.puzzlescript.net/play.html?p=998d2566bd2a343ddf7cf4aa7d5962ba,https://www.puzzlescript.net/play.html?p=ef9e3bf2eb459b52ba91f155f7b18480,https://www.puzzlescript.net/play.html?p=aa0f3598496e8d604e9246451b4d1f84
PuzzleScript Game,768560237266337872,JumbleTheCircle,https://www.puzzlescript.net/play.html?p=d42bf2a870aab3a2deca6132ff6ebad5,,,
Serpent Fusion,768488183402463292,Leaving Leaves,https://store.steampowered.com/app/1126260/Serpent_Fusion/,,,
Snakebird,767828022799237130,Icewing,https://store.steampowered.com/app/357300/Snakebird/,,,
Snakebird Primer,767827948262653992,Icewing,https://store.steampowered.com/app/1014140/Snakebird_Primer/,,,
The Bridge - An Indie Game,767469237840904242,Jess must digress,http://www.thebridgeisblackandwhite.com/,,,
行列のできるパズル(GYORETU PUZZLE),767056450765586492,That Scar,https://nebu-soku.itch.io/gyoretu-puzzle,,,
Duplicators,766625452093079573,brob,https://competor.itch.io/duplicators,,,
Bringris,766621682961481728,ZenoRogue,https://zenorogue.itch.io/bringris,,,
PuzzleScript Game,766338507467653160,~kjeann,https://www.puzzlescript.net/play.html?p=9eb8f8f3df4efb450b798a279eeba2e0,,,
This Mouse Will Swim,766261015176019999,knexator,https://chapliboy.itch.io/this-mouse-will-swim,,,
STRANGE KEYWORLD,766246076063285258,blubberquark,https://gmshara.itch.io/strange-keyworld,,,
Flockoban,766239940262363166,Corey Martin,https://le-slo.itch.io/flockoban,,,
A Frog's Guide To Eating Flies,766054340627660900,quantumpotato,https://birdboygames.itch.io/frogguide,,,
Snaliens,765863005283549185,ricky,https://store.steampowered.com/app/1214850/Snaliens/,,,
The Turing Test,765335305636544512,tjm,https://store.steampowered.com/app/499520/The_Turing_Test/,,,
The Talos Principle,765335264091963402,tjm,https://store.steampowered.com/app/257510/The_Talos_Principle/,,,
Tiny and Big: Grandpa's Leftovers,765335044507697162,tjm,https://store.steampowered.com/app/205910/Tiny_and_Big_Grandpas_Leftovers/,,,
TRI: Of Friendship and Madness,765334851443228713,tjm,https://store.steampowered.com/app/293660/TRI_Of_Friendship_and_Madness/,,,
Antichamber,765334669712556032,tjm,https://store.steampowered.com/app/219890/Antichamber/,,,
Akurra,765269871750676500,knexator,https://store.steampowered.com/app/1233070/Akurra/,,,
Fish Fillets 2,765202294941417492,Leaving Leaves,https://store.steampowered.com/app/33950/Fish_Fillets_2/,,,
Couch Installation Service,765184615329038346,Leaving Leaves,https://store.steampowered.com/app/1412610/Couch_Installation_Service/,,,
A Monster's Expedition,765184356066525214,Leaving Leaves,https://store.steampowered.com/app/1052990/_/,,,
Push Blox 2,765178134391291905,ricky,https://store.steampowered.com/app/894430/Push_Blox_2/,,,
OpenAlcazar,764942696120320050,skymoo,http://www.thomaschapeaux.be/alcazar-clone/,,,
Altered,764696600806555678,EPGAstudios,https://store.steampowered.com/app/973250/Altered/,,,
The Golem,764592390686113802,Corey Martin,https://store.steampowered.com/app/1270390/The_Golem/,,,
Kine,764592229989220387,domcamus,https://store.steampowered.com/app/824570/Kine/,,,
Puddle Knights,764592177330258000,domcamus,https://store.steampowered.com/app/1180540/Puddle_Knights/,,,
Stephen's Sausage Roll,764515836408627220,blubberquark,https://www.stephenssausageroll.com/,http://store.steampowered.com/app/353540/,,
Recursed,764502533959581766,Elyot,https://store.steampowered.com/app/497780/Recursed/,,,
The Swapper,764502502237798460,Elyot,https://store.steampowered.com/app/231160/The_Swapper/,,,
Supraland,764502454842425344,Elyot,https://store.steampowered.com/app/813630/Supraland/,,,
Prismata,764502411451826176,Elyot,https://store.steampowered.com/app/490220/Prismata/,,,
